何事[なにごと;h]も
ぽい[,ぽい;k1]
とばす[,とばす;h]
直[ただ;a]ちに
家臣[かしん;a]
世代[せだい;a,h]
引き寄[ひきよ,ひきよせる;k4]せる
滲[にじ,にじむ;k2]む
好[い,よい;k1]い
計[はか,はかる;k2]る
しのぶ[,しのぶ;k2]
スパイ[;n2,a]
フィリップ[;a]
ほほえむ[,ほほえむ;k3]
いだく[,いだく;k2]
旗本[はたもと;h]
早朝[そうちょう;h]
キリスト教[きりすときょう;h]
一息[ひといき;n2]
新鮮[しんせん;h]
現[あらわ,あらわす;k3]す
ヤクザ[;a]
師団[しだん;a]
中間[ちゅうかん;h]
反射的[はんしゃてき;h]
永[えい,とこしえ;h]
破滅[はめつ;h]
バラ[;h]
はなし[,なし;k1]
勢[いきお;n5]いよく
安定[あんてい;h]
白状[はくじょう;a]
倉[くら;o]
ある種[しゅ;o]
校長[こうちょう;h]
フィート[;a]
井[い;o]
マダム[;a]
たえず[;a]
論理[ろんり;a]
エリ[;o]
注[ちゅう;h]
ゆく[,ゆく;h]と
本多[ほんだ;h]
スタッフ[;n2]
松本[まつもと;h]
学園[がくえん;h]
か月[かげつ;a]
ふくむ[,ふくむ;k2]
丸[まる,まるめる;h]める
統一[とういつ;h]
御座[ござ,ござる;k2]る
毎晩[まいばん;a,h]
立[た;o]ち
固[かた,かたまる;h]まる
国境[くにざかい;n3]
翌年[よくねん;h]
げん[;h]
スポーツ[;n2]
群衆[ぐんしゅう;h]
ホステス[;a]
到底[とうてい;h]
躊躇[ちゅうちょ;a]
憎[にく;h,o,n3]しみ
率直[そっちょく;h]
編集者[へんしゅうしゃ;n3]
報道[ほうどう;h]
設定[せってい;h]
あした[;o]
ライダー[;a]
外側[そとがわ;h]
天気[てんき;a]
宮廷[きゅうてい;h]
いやがる[,いやがる;k3]
家内[かない;a]
汁[しる;a]
少尉[しょうい;a]
世界中[せかいじゅう;h]
給仕[きゅうじ;a]
おもい[,おもい;k2]
なあに[;a]
帰[き]
所属[しょぞく;h]
零[れい;a]
丁[てい;a]
到達[とうたつ;h]
教[おし;h]え
幻想[げんそう;h]
茂[しげる;h]
ひざ[;h]
対抗[たいこう;h]
古泉[こせん;h]
栄[えい;a]
神田[しんでん;h]
珍[ちん;a]
山中[さんちゅう;a]
閉[し,しまる;k2]まる
うながす[,うながす;h,k3]
アリ[;h]
神聖[しんせい;h]
バイト[;h,a]
ボス[;a]
ふるまう[,ふるまう;k3]
月光[げっこう;h]
傍[かたわ;h,o]ら
千代[ちよ;a]
終了[しゅうりょう;h]
養子[ようし;h]
ルート[;a]
プレゼント[;n2]
残[のこ,のこらず;k2]らず
一旦[いったん;h]
蝋燭[ろうそく;n3,o]
結[むす,むすびつける;k5]びつける
歪[いが,ゆがめる;k3]める
苦悩[くのう;h,a]
南部[なんぶ;a]
朝廷[ちょうてい;h]
裂[さ,さける;k2]ける
加賀[かが;a]
詳細[しょうさい;h]
司令官[しれいかん;n2]
引[ひ;h]き
観[かん;a]
